,Unnamed: 0,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,ΔValue
12533,12533,None,2021-10-04 11:36:44,2021-09-30,SPRO,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10%,Purchase,$18.65,"+134,543.00","4,563,688.00",3.04%,"+$2,509,173.13"
12558,12558,M,2021-10-04 16:11:02,2021-09-30,SCOB,ScION Tech Growth II,Pignataro Andrea,"Dir,Executive Chairman10%",Purchase,$9.94,+349.00,"2,032,108.00",0.02%,"+$3,469.06"
12785,12785,None,2021-09-24 16:05:36,2021-09-22,SCOB,ScION Tech Growth II,Pignataro Andrea,"Dir,Executive Chairman10%",Purchase,$9.86,+100.00,"2,031,759.00",0%,+$986.00
12802,12802,None,2021-09-23 16:10:53,2021-09-22,BXRX,"Baudax Bio, Inc.",HENWOOD GERALDINE,"Dir,President and CEO",Purchase,$0.59,"+8,200.00","384,507.00",2.18%,"+$4,797.82"
13029,13029,None,2021-09-17 17:05:43,2021-09-16,OSCR,"Oscar Health, Inc.",Schlosser Mario,"Dir,Chief Executive Officer",Purchase,$17.53,"+57,300.00","57,317.00",337058.82%,"+$1,004,514.84"
13099,13099,M,2021-09-16 17:38:13,2021-09-14,OSCR,"Oscar Health, Inc.",Kushner Joshua,"Dir,Co-Founder and Vice Chairman10%",Purchase,$18.00,"+839,069.00","4,755,222.00",21.43%,"+$15,106,290.24"
13100,13100,M,2021-09-16 17:39:40,2021-09-14,OSCR,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10%,Purchase,$18.00,"+839,069.00","4,755,222.00",21.43%,"+$15,106,290.24"
13177,13177,M,2021-09-15 19:21:42,2021-09-13,SPRO,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10%,Purchase,$18.56,"+46,366.00","4,429,145.00",1.06%,"+$860,547.07"
13216,13216,None,2021-09-14 14:04:02,2021-09-13,PFHO,PACIFIC HEALTH CARE ORGANIZATION INC,KUBOTA TOM,"Dir,CEO & President10%",Purchase,$0.92,"+7,000.00","7,915,000.00",0.09%,"+$6,440.00"
13221,13221,M,2021-09-14 10:35:27,2021-09-13,BANF,BANCFIRST CORP,BRAND DENNIS L,"Dir,Executive Vice President and",Purchase,$54.31,"+9,000.00","35,909.00",33.45%,"+$488,750.00"
13172,13172,M,2021-09-15 20:16:56,2021-09-09,OPXS,Optex Systems Holdings Inc,Lehmann Dale E,Dir,Purchase,$1.71,"+5,000.00","166,558.00",3.09%,"+$8,552.00"
13316,13316,M,2021-09-13 18:52:32,2021-09-09,OSCR,"Oscar Health, Inc.",Kushner Joshua,"Dir,Co-Founder and Vice Chairman10%",Purchase,$17.41,"+1,072,264.00","3,916,153.00",37.7%,"+$18,666,750.67"
13317,13317,M,2021-09-13 18:56:10,2021-09-09,OSCR,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10%,Purchase,$17.41,"+1,072,264.00","3,916,153.00",37.7%,"+$18,666,750.67"
13353,13353,M,2021-09-10 13:22:50,2021-09-09,FNCB,"FNCB Bancorp, Inc.",Bracey William G.,Dir,Purchase,$7.99,"+11,900.00","145,090.94",8.93%,"+$95,123.13"
13399,13399,None,2021-09-10 17:21:53,2021-09-09,SPRO,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10%,Purchase,$18.50,"+24,749.00","4,382,779.00",0.57%,"+$457,792.15"
13496,13496,M,2021-09-08 19:11:42,2021-09-07,OPXS,Optex Systems Holdings Inc,Malhotra R. Rimmy,Dir,Purchase,$1.66,"+23,837.00","219,047.00",12.21%,"+$39,669.51"
13548,13548,M,2021-09-07 16:15:24,2021-09-02,OSCR,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10%,Purchase,$18.07,"+485,486.00","2,843,889.00",20.59%,"+$8,770,523.01"
13549,13549,M,2021-09-07 16:15:33,2021-09-02,OSCR,"Oscar Health, Inc.",Kushner Joshua,"Dir,Co-Founder and Vice Chairman10%",Purchase,$18.07,"+485,486.00","2,843,889.00",20.59%,"+$8,770,523.01"
13671,13671,None,2021-09-02 10:32:29,2021-09-01,OPXS,Optex Systems Holdings Inc,Hagenbuch Lawrence F,Dir,Purchase,$1.56,"+10,000.00","110,000.00",10%,"+$15,600.00"
13672,13672,M,2021-09-02 10:50:25,2021-09-01,OPXS,Optex Systems Holdings Inc,Malhotra R. Rimmy,Dir,Purchase,$1.56,"+8,310.00","118,310.00",7.55%,"+$12,938.60"
13789,13789,None,2021-08-31 17:11:30,2021-08-31,BXRX,"Baudax Bio, Inc.",CHURCHILL WINSTON J,Dir,Purchase,$0.63,"+100,000.00","263,685.00",61.09%,"+$62,930.00"
13729,13729,M,2021-09-01 17:42:57,2021-08-30,SPRO,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10%,Purchase,$18.42,"+92,687.00","8,667,415.00",1.08%,"+$1,707,518.91"
13732,13732,M,2021-09-01 19:51:18,2021-08-30,OSCR,"Oscar Health, Inc.",Kushner Joshua,"Dir,Co-Founder and Vice Chairman10%",Purchase,$15.00,"+635,424.00","2,358,403.00",36.88%,"+$9,533,562.41"
13733,13733,M,2021-09-01 19:56:22,2021-08-30,OSCR,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10%,Purchase,$15.00,"+635,424.00","2,358,403.00",36.88%,"+$9,533,562.41"
13754,13754,None,2021-08-31 16:37:17,2021-08-30,SELF,"Global Self Storage, Inc.",BURKE RUSSELL E III,Dir,Purchase,$5.30,"+1,800.00","23,300.00",8.37%,"+$9,540.00"
13766,13766,None,2021-08-31 16:31:05,2021-08-30,RSLS,ReShape Lifesciences Inc.,STANKOVICH THOMAS,Chief Financial Officer,Purchase,$3.43,"+15,000.00","32,613.00",85.16%,"+$51,435.00"
13782,13782,None,2021-08-31 16:25:04,2021-08-30,AMPY,Amplify Energy Corp.,Lederman Evan S.,Dir,Purchase,$3.69,"+10,000.00","40,329.00",32.97%,"+$36,900.00"
13882,13882,None,2021-08-27 21:50:24,2021-08-26,OPXS,Optex Systems Holdings Inc,Fields Ephraim G,10%,Purchase,$1.46,"-24,000.00","1,154,399.00",-2.12%,"-$35,040.00"
13887,13887,M,2021-08-27 17:11:07,2021-08-26,SPRO,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10%,Purchase,$16.67,"+36,939.00","4,265,343.00",0.87%,"+$615,853.58"
13892,13892,M,2021-08-27 20:32:31,2021-08-25,OSCR,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10%,Purchase,$13.85,"+454,195.00","1,722,979.00",35.8%,"+$6,291,716.29"
13893,13893,M,2021-08-27 20:35:25,2021-08-25,OSCR,"Oscar Health, Inc.",Kushner Joshua,"Dir,Co-Founder and Vice Chairman10%",Purchase,$13.85,"+454,195.00","1,722,979.00",35.8%,"+$6,291,716.29"
13924,13924,None,2021-08-26 16:55:25,2021-08-24,CORR,"CorEnergy Infrastructure Trust, Inc.",Grier John D,"Dir,Chief Operating Officer",Purchase,$4.41,"+2,000.00","2,000.00",0%,"+$8,820.00"
13950,13950,M,2021-08-26 16:06:48,2021-08-24,SCOA,ScION Tech Growth I,Pignataro Andrea,"Dir,Executive Chairman10%",Purchase,$9.94,"+7,582.00","76,702.00",10.97%,"+$75,374.08"
13951,13951,None,2021-08-26 16:05:28,2021-08-24,SCOB,ScION Tech Growth II,Pignataro Andrea,"Dir,Executive Chairman10%",Purchase,$9.90,+100.00,"2,031,659.00",0%,+$990.00
13961,13961,None,2021-08-25 16:31:45,2021-08-24,SELF,"Global Self Storage, Inc.",WINMILL MARK CAMPBELL,"Dir,President and CEO",Purchase,$5.12,"+1,000.00","162,112.29",0.62%,"+$5,120.00"
13975,13975,None,2021-08-25 17:31:11,2021-08-23,ONCS,ONCOSEC MEDICAL Inc,DALESANDRO MARGARET,Dir,Purchase,$1.89,"+20,000.00","20,000.00",0%,"+$37,800.00"
14015,14015,None,2021-08-25 16:05:39,2021-08-23,SCOA,ScION Tech Growth I,Pignataro Andrea,"Dir,Executive Chairman10%",Purchase,$9.92,"+3,200.00","69,120.00",4.85%,"+$31,744.00"
14023,14023,None,2021-08-24 17:40:15,2021-08-23,CTEK,"CYNERGISTEK, INC",Sellers Dana Davis,Dir,Purchase,$1.90,"+5,000.00","45,000.00",12.5%,"+$9,476.50"
13673,13673,M,2021-09-02 12:25:45,2021-08-20,OPXS,Optex Systems Holdings Inc,Lehmann Dale E,Dir,Purchase,$1.50,"+23,158.00","161,658.00",16.72%,"+$34,766.50"
13680,13680,None,2021-09-02 16:06:34,2021-08-20,SPNE,SeaSpine Holdings Corp,FEKETE MICHAEL,Dir,Purchase,$14.80,"+10,000.00","88,370.00",12.76%,"+$148,000.00"
13845,13845,M,2021-08-30 16:55:45,2021-08-20,PCT,"PureCycle Technologies, Inc.",Dee Michael E,Chief Financial Officer,Purchase,$12.09,"+7,380.00","1,033,158.00",0.72%,"+$89,255.60"
14025,14025,M,2021-08-24 17:18:51,2021-08-20,SELF,"Global Self Storage, Inc.",WINMILL MARK CAMPBELL,"Dir,President and CEO",Purchase,$5.10,"+4,000.00","161,112.29",2.55%,"+$20,400.00"
14026,14026,None,2021-08-24 07:33:55,2021-08-20,FNCB,"FNCB Bancorp, Inc.",DeNaples Louis A Jr,Dir,Purchase,$7.94,"+5,038.00","282,865.02",1.81%,"+$40,001.72"
14033,14033,M,2021-08-24 18:16:33,2021-08-20,CORR,"CorEnergy Infrastructure Trust, Inc.",SCHULTE DAVID J,"Dir,President & CEO & Chairman",Purchase,$4.24,"+2,000.00","738,903.00",0.27%,"+$8,470.00"
14034,14034,None,2021-08-24 16:31:32,2021-08-20,EVC,ENTRAVISION COMMUNICATIONS CORP,Vasquez Gilbert R,Dir,Purchase,$6.60,"+20,000.00","750,648.00",2.74%,"+$132,000.00"
14045,14045,None,2021-08-24 08:59:19,2021-08-20,RSLS,ReShape Lifesciences Inc.,STANKOVICH THOMAS,Chief Financial Officer,Purchase,$3.22,"+15,000.00","17,613.00",574.05%,"+$48,285.00"
14051,14051,None,2021-08-24 10:43:22,2021-08-20,EFSI,EAGLE FINANCIAL SERVICES INC,MILLESON JOHN R,Dir,Purchase,$34.50,+150.00,"132,351.11",0.11%,"+$5,175.00"
14059,14059,None,2021-08-24 08:49:25,2021-08-20,OCUL,"OCULAR THERAPEUTIX, INC",Mattessich Antony C.,"Dir,President and CEO",Purchase,$9.89,"+5,000.00","102,900.00",5.11%,"+$49,450.00"
14060,14060,M,2021-08-24 20:03:34,2021-08-20,ONCS,ONCOSEC MEDICAL Inc,Zhao Yuhang,Dir,Purchase,$1.92,"+12,000.00","12,000.00",0%,"+$23,040.00"
14063,14063,M,2021-08-24 16:28:00,2021-08-20,SPRO,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10%,Purchase,$15.51,"+399,195.00","4,228,404.00",10.42%,"+$6,192,042.14"
14064,14064,None,2021-08-24 16:06:09,2021-08-20,KTB,"Kontoor Brands, Inc.",Baxter Scott H,"Dir,President and CEO",Purchase,$53.24,"+10,000.00","229,345.84",4.56%,"+$532,400.00"
14067,14067,None,2021-08-24 16:05:55,2021-08-20,AMPY,Amplify Energy Corp.,Proman David,Dir,Purchase,$3.36,"+15,000.00","45,329.00",49.46%,"+$50,379.00"
14070,14070,M,2021-08-24 20:43:08,2021-08-20,OSCR,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10%,Purchase,$12.76,"+1,268,284.00","1,268,784.00",253656.8%,"+$16,184,002.25"
14071,14071,M,2021-08-24 20:44:20,2021-08-20,OSCR,"Oscar Health, Inc.",Kushner Joshua,"Dir,Co-Founder and Vice Chairman10%",Purchase,$12.76,"+1,268,784.00","1,268,784.00",0%,"+$16,190,605.54"
14078,14078,M,2021-08-24 20:53:21,2021-08-20,FNKO,"Funko, Inc.","Woodson Capital Management, LP",10%,Purchase,$17.93,"+181,506.00","4,264,779.00",4.45%,"+$3,254,965.25"
14080,14080,M,2021-08-24 16:06:08,2021-08-20,CPE,Callon Petroleum Co,"Kimmeridge Energy Management Company, LLC",10%,Purchase,$27.24,"+602,503.00","6,188,157.00",10.79%,"+$16,413,721.65"
14081,14081,M,2021-08-24 19:24:02,2021-08-20,KRON,"Kronos Bio, Inc.",De Backer Marianne,Dir,Purchase,$19.57,"+1,000.00","1,600.00",166.67%,"+$19,565.00"
14082,14082,None,2021-08-24 16:06:27,2021-08-20,DNMR,"Danimer Scientific, Inc.",Calhoun Philip Gregory,Dir,Purchase,$14.16,"+7,100.00","3,532,835.00",0.2%,"+$100,536.00"
14085,14085,M,2021-08-24 16:06:30,2021-08-20,SCOA,ScION Tech Growth I,Pignataro Andrea,"Dir,Executive Chairman10%",Purchase,$9.92,"+22,227.00","65,920.00",50.87%,"+$220,562.84"
14086,14086,None,2021-08-24 16:05:35,2021-08-20,SCOB,ScION Tech Growth II,Pignataro Andrea,"Dir,Executive Chairman10%",Purchase,$9.89,+253.00,"2,031,559.00",0.01%,"+$2,502.17"
14095,14095,None,2021-08-23 21:01:46,2021-08-20,CRVS,"Corvus Pharmaceuticals, Inc.",MILLER RICHARD A MD,"Dir,President and CEO",Purchase,$1.93,"+10,000.00","1,324,229.00",0.76%,"+$19,254.00"
14101,14101,None,2021-08-23 14:21:37,2021-08-20,BANF,BANCFIRST CORP,CRAIG C L JR,Dir,Purchase,$56.29,+332.00,"52,072.00",0.64%,"+$18,688.28"
14109,14109,None,2021-08-23 18:33:23,2021-08-20,PFHO,PACIFIC HEALTH CARE ORGANIZATION INC,KUBOTA TOM,"Dir,CEO & President10%",Purchase,$1.01,"+11,000.00","7,908,000.00",0.14%,"+$11,110.00"
14116,14116,None,2021-08-23 18:02:05,2021-08-20,COCP,"Cocrystal Pharma, Inc.",PFENNIGER RICHARD C JR,Dir,Purchase,$1.03,"+40,000.00","40,000.00",0%,"+$41,120.00"
14121,14121,None,2021-08-23 16:25:00,2021-08-20,PK,Park Hotels & Resorts Inc.,ECKERT THOMAS D,Dir,Purchase,$17.73,"+10,000.00","103,627.00",10.68%,"+$177,300.00"
14123,14123,None,2021-08-23 10:11:37,2021-08-20,BIOL,"BIOLASE, INC",BEAVER JOHN R,"Dir,President & CEO",Purchase,$0.61,"+35,000.00","551,530.00",6.78%,"+$21,350.00"
14160,14160,None,2021-08-23 16:34:17,2021-08-20,MPLN,MultiPlan Corp,Klapstein Julie D,Dir,Purchase,$6.00,"+12,000.00","30,105.00",66.28%,"+$71,956.80"
14193,14193,None,2021-08-23 18:42:26,2021-08-20,BXRX,"Baudax Bio, Inc.",Casten Richard S,Chief Financial Officer,Purchase,$0.51,"+50,000.00","200,000.00",33.33%,"+$25,500.00"
14195,14195,None,2021-08-23 16:54:48,2021-08-20,AMOT,ALLIED MOTION TECHNOLOGIES INC,Engel Robert B,Dir,Purchase,$31.72,"+1,500.00","23,791.00",6.73%,"+$47,580.00"
14211,14211,None,2021-08-20 18:21:46,2021-08-20,CTEK,"CYNERGISTEK, INC",Roberson Mark D.,Dir,Purchase,$1.90,"+5,000.00","41,000.00",13.89%,"+$9,500.00"
14259,14259,None,2021-08-20 19:17:39,2021-08-20,XSPA,"XpresSpa Group, Inc.",Berry James A.,Chief Financial Officer,Purchase,$1.39,"+24,602.00","198,213.00",14.17%,"+$34,196.78"
14275,14275,None,2021-08-20 16:47:26,2021-08-20,ANDA,"STRYVE FOODS, INC.",Orellana Mauricio,Dir,Purchase,$5.78,"+1,730.00","87,529.00",2.02%,"+$9,999.40"
14276,14276,None,2021-08-20 16:06:50,2021-08-20,ETON,"Eton Pharmaceuticals, Inc.",BRYNJELSEN SEAN,"Dir,President & CEO",Purchase,$4.32,"+10,000.00","1,054,940.00",0.96%,"+$43,200.00"
14281,14281,None,2021-08-20 16:08:45,2021-08-20,ETON,"Eton Pharmaceuticals, Inc.",Troutman William Wilson,"CFO, Treasurer & Secretary",Purchase,$4.43,"+5,000.00","23,027.00",27.74%,"+$22,150.00"
23,23,M,2022-06-27 18:08:49,2022-06-23,CPSS,"CONSUMER PORTFOLIO SERVICES, INC.","BLACK DIAMOND CAPITAL MANAGEMENT, L.L.C.",10%,Purchase,$10.42,"+284,312.00","5,043,398.00",5.97%,"+$2,961,276.62"
150,150,None,2022-06-22 16:55:55,2022-06-22,QLGN,"Qualigen Therapeutics, Inc.",Poirier Michael S.,"Dir,Chairman and CEO",Purchase,$0.57,"+30,000.00","210,207.00",16.65%,"+$17,100.00"
227,227,None,2022-06-21 20:03:46,2022-06-17,VST,Vistra Corp.,BURKE JAMES A,President and CFO,Purchase,$22.01,"+18,000.00","565,416.00",3.29%,"+$396,198.00"
246,246,None,2022-06-21 18:24:54,2022-06-17,VST,Vistra Corp.,HELM SCOTT B,Dir,Purchase,$22.40,"+10,000.00","298,201.00",3.47%,"+$223,980.00"
260,260,M,2022-06-21 17:17:33,2022-06-16,CPSS,"CONSUMER PORTFOLIO SERVICES, INC.","BLACK DIAMOND CAPITAL MANAGEMENT, L.L.C.",10%,Purchase,$10.48,"+29,031.00","4,759,086.00",0.61%,"+$304,188.49"
315,315,M,2022-06-17 19:00:53,2022-06-16,VST,Vistra Corp.,FERRAIOLI BRIAN K,Dir,Purchase,$22.50,"+8,050.00","75,227.61",11.98%,"+$181,142.50"
415,415,None,2022-06-16 10:12:03,2022-06-15,PRKA,"PARKS AMERICA, INC",KOHNEN CHARLES,"Dir,10%",Purchase,$0.42,"+7,800.00","22,139,308.00",0.04%,"+$3,276.00"
486,486,M,2022-06-16 17:57:59,2022-06-14,SIX,Six Flags Entertainment Corp,Mick Gary,CHIEF FINANCIAL OFFICER,Purchase,$23.35,"+2,325.00","30,000.00",8.4%,"+$54,281.50"
493,493,None,2022-06-15 08:30:56,2022-06-14,BKYI,BIO KEY INTERNATIONAL INC,DEPASQUALE MICHAEL W,"Dir,Chief Executive Officerother",Purchase,$1.66,"+2,000.00","66,958.00",3.08%,"+$3,320.00"
532,532,M,2022-06-15 20:50:18,2022-06-14,VST,Vistra Corp.,BURKE JAMES A,President and CFO,Purchase,$23.30,"+32,000.00","547,416.00",6.21%,"+$745,568.00"
551,551,None,2022-06-15 16:05:21,2022-06-14,QLGN,"Qualigen Therapeutics, Inc.",BROIDRICK AMY S.,"Dir,President/CSO",Purchase,$0.62,"+30,000.00","34,500.00",666.67%,"+$18,600.00"
578,578,None,2022-06-15 20:48:21,2022-06-14,VST,Vistra Corp.,HELM SCOTT B,Dir,Purchase,$23.16,"+20,000.00","288,201.00",7.46%,"+$463,160.00"
536,536,M,2022-06-15 17:57:50,2022-06-13,CPSS,"CONSUMER PORTFOLIO SERVICES, INC.","BLACK DIAMOND CAPITAL MANAGEMENT, L.L.C.",10%,Purchase,$10.35,"+50,498.00","4,730,055.00",1.08%,"+$522,518.94"
595,595,M,2022-06-14 12:24:46,2022-06-10,PRKA,"PARKS AMERICA, INC",KOHNEN CHARLES,"Dir,10%",Purchase,$0.41,"+100,000.00","22,131,508.00",0.45%,"+$40,546.86"
669,669,M,2022-06-14 16:38:02,2022-06-10,SIX,Six Flags Entertainment Corp,Mick Gary,CHIEF FINANCIAL OFFICER,Purchase,$25.68,"+2,000.00","27,675.00",7.79%,"+$51,356.00"
779,779,None,2022-06-13 16:49:20,2022-06-10,SNAX,"STRYVE FOODS, INC.",Boever Christopher J.,"Dir,CEO",Purchase,$1.12,"+250,000.00","2,263,969.00",12.41%,"+$280,000.00"
1214,1214,None,2022-06-02 17:01:36,2022-05-31,SNAX,"STRYVE FOODS, INC.",Boever Christopher J.,CEO,Purchase,$1.20,"+10,523.00","2,013,969.00",0.53%,"+$12,627.60"
1227,1227,None,2022-06-02 16:27:19,2022-05-31,AIV,APARTMENT INVESTMENT & MANAGEMENT CO,Leupp Jay P,Dir,Purchase,$6.31,"+2,145.00","76,013.00",2.9%,"+$13,544.60"
1355,1355,None,2022-05-31 14:38:50,2022-05-27,OXSQ,Oxford Square Capital Corp.,ROSENTHAL SAUL B,President and COO,Purchase,$4.03,"+1,773.00","1,543,515.00",0.11%,"+$7,143.42"
1356,1356,None,2022-05-31 14:39:29,2022-05-27,OXSQ,Oxford Square Capital Corp.,COHEN JONATHAN H,"Dir,Chief Executive Officer",Purchase,$4.03,"+1,773.00","1,705,301.00",0.1%,"+$7,143.42"
1364,1364,M,2022-05-31 17:14:09,2022-05-26,SIX,Six Flags Entertainment Corp,JAFFER REHAN,10%,Purchase,$29.63,"+125,000.00","9,475,000.00",1.34%,"+$3,703,635.00"
1384,1384,M,2022-05-31 17:15:43,2022-05-26,SIX,Six Flags Entertainment Corp,Ruchim Arik W,"Dir,10%",Purchase,$29.63,"+125,000.00","9,475,000.00",1.34%,"+$3,703,635.00"
1421,1421,None,2022-05-27 11:10:25,2022-05-26,ALTG,ALTA EQUIPMENT GROUP INC.,STUDDERT ANDREW P,Dir,Purchase,$10.46,"+2,500.00","38,283.00",6.99%,"+$26,150.00"
1489,1489,None,2022-05-27 16:58:01,2022-05-26,VST,Vistra Corp.,HELM SCOTT B,Dir,Purchase,$26.00,"+9,000.00","268,201.00",3.47%,"+$234,000.00"
1508,1508,None,2022-05-26 11:46:29,2022-05-26,BKYI,BIO KEY INTERNATIONAL INC,DEPASQUALE MICHAEL W,"Dir,Chief Executive Officerother",Purchase,$1.80,"+2,500.00","64,958.00",4%,"+$4,500.00"
1548,1548,M,2022-05-26 10:42:15,2022-05-24,OXSQ,Oxford Square Capital Corp.,ROSENTHAL SAUL B,President and COO,Purchase,$3.99,"+5,038.00","1,541,742.00",0.33%,"+$20,114.15"
1549,1549,M,2022-05-26 10:43:08,2022-05-24,OXSQ,Oxford Square Capital Corp.,COHEN JONATHAN H,"Dir,Chief Executive Officer",Purchase,$3.99,"+5,038.00","1,703,528.00",0.3%,"+$20,114.15"
1910,1910,M,2022-05-23 17:51:05,2022-05-20,OXSQ,Oxford Square Capital Corp.,ROSENTHAL SAUL B,President and COO,Purchase,$3.99,"+5,123.00","1,536,704.00",0.33%,"+$20,459.88"
1911,1911,M,2022-05-23 17:51:53,2022-05-20,OXSQ,Oxford Square Capital Corp.,COHEN JONATHAN H,"Dir,Chief Executive Officer",Purchase,$3.99,"+5,123.00","1,698,490.00",0.3%,"+$20,459.88"
1896,1896,None,2022-05-23 16:54:45,2022-05-19,GAN,GAN Ltd,MCGILL SEAMUS M,Dir,Purchase,$3.32,"+5,000.00","49,866.00",11.14%,"+$16,600.00"
2195,2195,None,2022-05-19 20:38:51,2022-05-18,OXSQ,Oxford Square Capital Corp.,ROSENTHAL SAUL B,President and COO,Purchase,$4.08,"+10,027.00","1,531,581.00",0.66%,"+$40,960.29"
2196,2196,None,2022-05-19 20:39:12,2022-05-18,OXSQ,Oxford Square Capital Corp.,COHEN JONATHAN H,"Dir,Chief Executive Officer",Purchase,$4.08,"+10,027.00","1,693,367.00",0.6%,"+$40,960.29"
2278,2278,None,2022-05-19 16:56:35,2022-05-18,SNAX,"STRYVE FOODS, INC.",Hawkins Alex,CFO,Purchase,$1.29,"+4,000.00","303,218.00",1.34%,"+$5,160.00"
2188,2188,M,2022-05-19 21:30:25,2022-05-17,ALTG,ALTA EQUIPMENT GROUP INC.,"B. Riley Financial, Inc.",10%,Purchase,$11.00,"+25,000.00","6,510,557.00",0.39%,"+$274,997.19"
2277,2277,M,2022-05-19 16:55:57,2022-05-17,SNAX,"STRYVE FOODS, INC.",Casey Ted,Dir,Purchase,$1.24,"+329,000.00","2,139,671.00",18.17%,"+$407,498.70"
2383,2383,None,2022-05-18 17:35:12,2022-05-17,KDP,Keurig Dr Pepper Inc.,Shoemaker Anthony,Chief Legal Officer,Purchase,$35.60,"+5,500.00","53,500.00",11.46%,"+$195,794.50"
2423,2423,M,2022-05-18 12:29:14,2022-05-17,KBNT,"Kubient, Inc.",Mithaq Capital SPC,other,Purchase,$1.00,"+1,968.00","4,024,992.00",0.05%,"+$1,968.00"
2090,2090,M,2022-05-20 17:57:15,2022-05-16,ALTG,ALTA EQUIPMENT GROUP INC.,Savas Zachary E.,Dir,Purchase,$10.72,"+10,459.00","68,571.00",18%,"+$112,149.40"
2330,2330,None,2022-05-18 16:20:31,2022-05-16,PKTX,"ProtoKinetix, Inc.",Guzzetta Michael Richard,CFO,Purchase,$0.05,"+10,000.00","716,369.00",1.42%,+$490.00
2504,2504,M,2022-05-17 19:24:07,2022-05-16,OXSQ,Oxford Square Capital Corp.,ROSENTHAL SAUL B,President and COO,Purchase,$4.04,"+18,202.00","1,521,554.00",1.21%,"+$73,533.30"
2505,2505,M,2022-05-17 19:24:22,2022-05-16,OXSQ,Oxford Square Capital Corp.,COHEN JONATHAN H,"Dir,Chief Executive Officer",Purchase,$4.04,"+18,202.00","1,683,340.00",1.09%,"+$73,533.30"
860,860,M,2022-06-10 21:18:31,2022-05-14,BOXL,Boxlight Corp,Pope Michael Ross,"Dir,Chief Executive Officer","Sale,Purchase",$1.27,"-29,297.00","1,022,216.00",-2.95%,"-$37,140.76"
2518,2518,M,2022-05-17 18:05:56,2022-05-13,SIX,Six Flags Entertainment Corp,JAFFER REHAN,10%,Purchase,$28.86,"+425,000.00","9,350,000.00",4.76%,"+$12,263,699.00"
2563,2563,M,2022-05-17 18:08:40,2022-05-13,SIX,Six Flags Entertainment Corp,Ruchim Arik W,"Dir,10%",Purchase,$28.86,"+425,000.00","9,350,000.00",4.76%,"+$12,263,699.00"
2766,2766,M,2022-05-16 15:02:23,2022-05-13,KBNT,"Kubient, Inc.",Mithaq Capital SPC,other,Purchase,$1.00,"+34,227.00","4,023,680.00",0.86%,"+$34,227.00"
2778,2778,None,2022-05-16 19:06:12,2022-05-13,ALTG,ALTA EQUIPMENT GROUP INC.,Greenawalt Ryan,"Dir,CEO, Chairman10%",Purchase,$10.32,"+8,239.00","5,795,492.00",0.14%,"+$85,010.00"
2779,2779,None,2022-05-16 19:16:35,2022-05-13,ALTG,ALTA EQUIPMENT GROUP INC.,Shribman Daniel,Dir,Purchase,$10.32,"+15,000.00","371,761.00",4.2%,"+$154,735.50"
2665,2665,M,2022-05-16 08:52:00,2022-05-12,OXSQ,Oxford Square Capital Corp.,ROSENTHAL SAUL B,President and COO,Purchase,$3.91,"+36,574.00","1,503,352.00",2.49%,"+$143,162.27"
2666,2666,M,2022-05-16 08:52:44,2022-05-12,OXSQ,Oxford Square Capital Corp.,COHEN JONATHAN H,"Dir,Chief Executive Officer",Purchase,$3.91,"+36,574.00","1,665,138.00",2.25%,"+$143,162.27"
2915,2915,M,2022-05-13 10:33:13,2022-05-12,KBNT,"Kubient, Inc.",Mithaq Capital SPC,other,Purchase,$1.00,"+669,621.00","4,000,862.00",20.1%,"+$669,621.00"
2989,2989,None,2022-05-12 21:11:37,2022-05-12,VST,Vistra Corp.,BURKE JAMES A,President and CFO,Purchase,$23.19,"+12,938.00","515,416.00",2.57%,"+$299,993.41"
3045,3045,M,2022-05-12 14:08:24,2022-05-11,KBNT,"Kubient, Inc.",Mithaq Capital SPC,other,Purchase,$0.77,"+86,859.00","3,554,448.00",2.5%,"+$66,881.43"
2987,2987,M,2022-05-12 11:32:57,2022-05-10,OXSQ,Oxford Square Capital Corp.,ROSENTHAL SAUL B,President and COO,Purchase,$3.99,"+13,375.00","1,466,778.00",0.92%,"+$53,414.27"
2988,2988,M,2022-05-12 11:34:10,2022-05-10,OXSQ,Oxford Square Capital Corp.,COHEN JONATHAN H,"Dir,Chief Executive Officer",Purchase,$3.99,"+13,375.00","1,628,564.00",0.83%,"+$53,414.27"
3148,3148,M,2022-05-11 15:11:03,2022-05-10,KBNT,"Kubient, Inc.",Mithaq Capital SPC,other,Purchase,$0.67,"+31,062.00","3,496,542.00",0.9%,"+$20,811.54"
